reference_id,authors,title,year,venue,doi,official_url,method,problem,relation_to_this_work,claim_supported,verified
HuguetLlaveSire2013,Gemma Huguet; Rafael de la Llave; Yannick Sire,Fast Iteration of Cocycles over Rotations and Computation of Hyperbolic Bundles,2013,AIMS Proceedings,10.3934/proc.2013.2013.323,https://www.aimsciences.org/article/doi/10.3934/proc.2013.2013.323,fast cocycle iteration over irrational rotations; stable and unstable bundle computation,efficient Lyapunov exponent and hyperbolic-bundle computation,directly establishes fast cocycle iteration and hyperbolic bundle computation as prior art,cocycle-over-rotation algorithms provide established tools for computing hyperbolic bundles,yes
Eliasson2001,Lars H. Eliasson,Almost Reducibility of Linear Quasi-Periodic Systems,2001,"Smooth Ergodic Theory and Its Applications, Proceedings of Symposia in Pure Mathematics 69",10.1090/pspum/069/1858550,https://doi.org/10.1090/pspum/069/1858550,almost-reducibility analysis for linear quasi-periodic systems,reducibility of quasi-periodic linear systems,provides theoretical context for why a phase-dependent cocycle need not admit a globally real one-dimensional reduction,reducibility is a substantive spectral-dynamical property rather than an automatic consequence of pointwise diagonalization,yes
DieciRussellVanVleck1994,Luca Dieci; Robert D. Russell; Erik S. Van Vleck,Unitary Integrators and Applications to Continuous Orthonormalization Techniques,1994,SIAM Journal on Numerical Analysis,10.1137/0731014,https://epubs.siam.org/doi/10.1137/0731014,unitary integration; continuous orthonormalization,stable numerical evolution of orthonormal frames,foundational prior art for QR-style frame propagation and phase-alignment diagnostics,continuous orthonormalization is an established numerical strategy with specific integration considerations,yes
DieciVanVleck2002,Luca Dieci; Erik S. Van Vleck,Lyapunov Spectral Intervals: Theory and Computation,2002,SIAM Journal on Numerical Analysis,10.1137/S0036142901392304,https://epubs.siam.org/doi/10.1137/S0036142901392304,continuous QR and SVD approaches for Lyapunov spectral intervals,theory and computation of Lyapunov spectra for nonautonomous linear systems,supports the distinction between QR and SVD diagnostics and an invariant physical direction,QR and SVD are established but method-dependent tools for nonautonomous spectral computation,yes
GinelliEtAl2007,Francesco Ginelli; Paolo Poggi; Antonio Turchi; Hugues Chaté; Roberto Livi; Antonio Politi,Characterizing Dynamics with Covariant Lyapunov Vectors,2007,Physical Review Letters,10.1103/PhysRevLett.99.130601,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.99.130601,forward-backward computation of covariant Lyapunov vectors,coordinate-independent characterization of tangent-space dynamics,clarifies the distinction between orthonormal QR vectors and covariant directions,covariant Lyapunov vectors are not generally identical to forward orthonormal QR vectors,yes
KuptsovParlitz2012,Pavel V. Kuptsov; Ulrich Parlitz,Theory and Computation of Covariant Lyapunov Vectors,2012,Journal of Nonlinear Science,10.1007/s00332-012-9126-5,https://link.springer.com/article/10.1007/s00332-012-9126-5,comparative algorithms and theory for covariant Lyapunov vectors,computation and interpretation of covariant tangent-space directions,"provides the formal basis for treating QR frames, singular vectors, and covariant directions as different objects",CLV computation requires covariance-aware algorithms beyond a single local eigendecomposition,yes
BaiDemmel1993,Zhaojun Bai; James W. Demmel,On Swapping Diagonal Blocks in Real Schur Form,1993,Linear Algebra and its Applications,10.1016/0024-3795(93)90286-W,https://www.sciencedirect.com/science/article/pii/002437959390286W,stable reordering of 1-by-1 and 2-by-2 blocks in real Schur form,selection and reordering of real invariant subspaces,linear-algebra foundation for ordered partial real-Schur subspace selection,"a complex conjugate pair is represented by a two-dimensional real Schur block, not a one-dimensional real eigenvector",yes
GranatKagstrom2006,Robert Granat; Bo Kågström,Direct Eigenvalue Reordering in a Product of Matrices in Periodic Schur Form,2006,SIAM Journal on Matrix Analysis and Applications,10.1137/05062490X,https://epubs.siam.org/doi/10.1137/05062490X,periodic real-Schur block reordering with backward-stability analysis,invariant subspace selection for products of matrix sequences,closest formal linear-algebra context for Schur tracking across a cocycle,periodic matrix products require subspace-aware Schur treatment rather than independent pointwise eigenvector sorting,yes
KrauskopfEtAl2005,Bernd Krauskopf; Hinke M. Osinga; Eusebius J. Doedel; Michael E. Henderson; John Guckenheimer; Alexander Vladimirsky; Michael Dellnitz; Oliver Junge,A Survey of Methods for Computing (Un)Stable Manifolds of Vector Fields,2005,International Journal of Bifurcation and Chaos,10.1142/S0218127405012533,https://doi.org/10.1142/S0218127405012533,survey and classification of numerical invariant-manifold algorithms,computation of stable and unstable manifolds of vector fields,places local seeding and global sheet construction within established manifold-computation practice,local invariant directions and globally resolved manifold sheets require distinct numerical stages and diagnostics,yes
KoonEtAl2000,Wang Sang Koon; Martin W. Lo; Jerrold E. Marsden; Shane D. Ross,Heteroclinic Connections Between Periodic Orbits and Resonance Transitions in Celestial Mechanics,2000,Chaos: An Interdisciplinary Journal of Nonlinear Science,10.1063/1.166509,https://authors.library.caltech.edu/records/655vt-rs378,invariant-manifold and heteroclinic-connection construction in celestial mechanics,transport between resonance regions through stable and unstable manifolds,establishes the mission-design relevance of correctly computed global manifolds,invariant manifolds and their intersections organize low-energy transport in restricted three-body dynamics,yes
GomezEtAl2004,Gerard Gómez; Wang Sang Koon; Martin W. Lo; Jerrold E. Marsden; Josep Masdemont; Shane D. Ross,Connecting Orbits and Invariant Manifolds in the Spatial Restricted Three-Body Problem,2004,Nonlinearity,10.1088/0951-7715/17/5/002,https://doi.org/10.1088/0951-7715/17/5/002,spatial invariant-manifold and connecting-orbit computation,connections between libration-point orbits in the spatial restricted three-body problem,formal CR3BP context for global manifold propagation and geometry matching,"spatial connecting-orbit computation depends on globally propagated manifold geometry, not only local eigendirections",yes
GuzzettiEtAl2016,Davide Guzzetti; Natasha Bosanac; Amanda Haapala; Kathleen C. Howell; David C. Folta,Rapid Trajectory Design in the Earth-Moon Ephemeris System via an Interactive Catalog of Periodic and Quasi-Periodic Orbits,2016,Acta Astronautica,10.1016/j.actaastro.2016.06.029,https://www.sciencedirect.com/science/article/pii/S0094576516301448,interactive catalog of periodic and quasi-periodic CR3BP solutions with ephemeris transition,rapid Earth-Moon trajectory design using catalogued dynamical structures,shows the application value of trustworthy quasi-periodic orbit and manifold catalogs,quasi-periodic orbit families materially expand the trajectory-design search space,yes
McCarthyHowell2021,Brian P. McCarthy; Kathleen C. Howell,Quasi-Periodic Orbits in the Sun-Earth-Moon Bicircular Restricted Four-Body Problem,2021,"AAS/AIAA Space Flight Mechanics Meeting, AAS 21-270",,https://engineering.purdue.edu/people/kathleen.howell.1/Publications/Conferences/2021_AAS_McCHow.pdf,invariant-torus family computation and stability analysis in the BCR4BP,Sun-perturbed quasi-periodic motion in cislunar space,demonstrates how McCarthy's quasi-periodic-orbit program extends beyond the 2018 CR3BP thesis,the McCarthy-Howell research line later extends invariant-torus computation and stability analysis to a four-body model,yes
McCarthyHowell2023,Brian McCarthy; Kathleen Howell,Construction of Heteroclinic Connections Between Quasi-Periodic Orbits in the Three-Body Problem,2023,The Journal of the Astronautical Sciences,10.1007/s40295-023-00389-5,https://link.springer.com/article/10.1007/s40295-023-00389-5,global stable/unstable manifold propagation and quasi-periodic heteroclinic connection construction,connections between quasi-periodic orbits in the three-body problem,peer-reviewed continuation of the target thesis's manifold application and a direct reason to separate local bundle quality from global sheet quality,McCarthy and Howell later use quasi-periodic invariant manifolds to construct heteroclinic connections,yes
OwenBaresi2024,Danny Owen; Nicola Baresi,Applications of Knot Theory to the Detection of Heteroclinic Connections Between Quasi-Periodic Orbits,2024,Astrodynamics,10.1007/s42064-024-0201-0,https://link.springer.com/article/10.1007/s42064-024-0201-0,topological detection and classification of heteroclinic connections between quasi-periodic-orbit manifolds,automated detection of connections between quasi-periodic orbits,recent application context showing why manifold-sheet geometry and connection topology require reliable upstream bundles,recent work continues to treat quasi-periodic manifold connections as a distinct global-geometry problem,yes
