case_id,test_type,requested_phase_shift,actual_shift_index,actual_phase_shift_rad,shift_method,phase_condition,perturbation_norm,converged,accepted,corrected_max_abs_z_km,delta_max_abs_z_km_from_reference,corrected_mapping_time_days,delta_mapping_time_days_from_reference,corrected_rho,delta_rho_from_reference,map_residual_norm,curve_jacobi_span,one_map_phase_return_error,ten_return_jacobi_span,state_distance_to_reference,phase_aligned_state_distance,classification,diagnosis
05_E_amplitude_monitor_large_step_step,alternative_phase_anchor,0,0,0,none,two_orthogonality,N/A,True,True,10365.30213665036,0,14.75849912191985,0,1.443965064250454,0,1.061852516876949e-13,6.972200594645983e-14,1.609181120155472e-14,2.220446049250313e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_step,small_perturbation,0,0,0,none,curve_tangent,1e-08,True,True,10365.30213669313,4.277353582438082e-08,14.75849912191995,9.769962616701378e-14,1.443965064250444,-1.088018564132653e-14,3.8516082682e-14,9.547918011776346e-14,1.58403246036396e-14,2.220446049250313e-15,2.182110517273344e-11,2.182110517273344e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
05_E_amplitude_monitor_large_step_step,small_perturbation,0,0,0,none,curve_tangent,1e-07,True,True,10365.30213638122,-2.691431291168556e-07,14.75849912192,1.49213974509621e-13,1.443965064250171,-2.8377300509419e-13,5.968234503785434e-13,1.054711873393899e-12,7.038558859605478e-14,4.440892098500626e-15,9.69599933470754e-11,9.69599933470754e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_01_E_amplitude_monitor_large_step,cyclic_phase_shift,1/4,15,1.545045567339242,cyclic_index_shift,curve_tangent,N/A,True,True,10530.59578289068,0,14.76784774860394,0,1.44395965358976,0,5.586032699487926e-14,3.934630399271555e-13,1.43222060566371e-14,2.220446049250313e-15,0.02072071136928179,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_01_E_amplitude_monitor_large_step,cyclic_phase_shift,1/2,30,3.090091134678485,cyclic_index_shift,curve_tangent,N/A,True,True,10530.59578289068,0,14.76784774860394,0,1.44395965358976,0,5.721636976058066e-14,3.934630399271555e-13,2.205498972622476e-14,7.105427357601002e-15,0.02930088805359777,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_01_E_amplitude_monitor_large_step,cyclic_phase_shift,3/4,46,4.738139739840343,cyclic_index_shift,curve_tangent,N/A,True,True,10530.59578289068,0,14.76784774860394,0,1.44395965358976,0,5.568375739928782e-14,3.934630399271555e-13,1.195210174094187e-14,2.220446049250313e-15,0.02072071136928179,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_01_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,curve_tangent,N/A,True,True,10530.59578289068,0,14.76784774860394,0,1.44395965358976,0,5.511823739445895e-14,3.934630399271555e-13,1.760757488038477e-14,3.108624468950438e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_01_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,two_orthogonality,N/A,True,True,10530.59578289068,0,14.76784774860394,0,1.44395965358976,0,5.511823739445895e-14,3.934630399271555e-13,1.760757488038477e-14,3.108624468950438e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_01_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-08,True,True,10530.59578277818,-1.12497218651697e-07,14.76784774860391,-3.197442310920451e-14,1.443959653589726,-3.397282455352979e-14,5.258957227879317e-14,4.121147867408581e-13,1.931354676072308e-14,3.108624468950438e-15,3.846780641903568e-11,3.846780641903568e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_01_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-07,True,True,10530.59578373876,8.480783435516059e-07,14.76784774860478,8.348877145181177e-13,1.443959653589729,-3.108624468950438e-14,7.202784902674091e-13,1.356248446882091e-12,6.461594949732558e-14,2.220446049250313e-15,4.657521987659552e-10,4.657521987659552e-10,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_02_E_amplitude_monitor_large_step,cyclic_phase_shift,1/4,15,1.545045567339242,cyclic_index_shift,curve_tangent,N/A,True,True,10681.86982573058,0,14.77725874695852,0,1.443916673260901,0,3.680796100732922e-14,1.882050071344565e-12,3.623699075653049e-15,3.996802888650564e-15,0.02110696255765074,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_02_E_amplitude_monitor_large_step,cyclic_phase_shift,1/2,30,3.090091134678485,cyclic_index_shift,curve_tangent,N/A,True,True,10681.86982573058,0,14.77725874695852,0,1.443916673260901,0,3.533755252518113e-14,1.882050071344565e-12,9.32504811823452e-15,4.884981308350689e-15,0.02973291704280893,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_02_E_amplitude_monitor_large_step,cyclic_phase_shift,3/4,46,4.738139739840343,cyclic_index_shift,curve_tangent,N/A,True,True,10681.86982573058,0,14.77725874695852,0,1.443916673260901,0,3.460500324415516e-14,1.882050071344565e-12,1.263574678643672e-14,3.552713678800501e-15,0.02110696255765073,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_02_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,curve_tangent,N/A,True,True,10681.86982573058,0,14.77725874695852,0,1.443916673260901,0,3.370791265214602e-14,1.882050071344565e-12,1.393168638496896e-14,3.552713678800501e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_02_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,two_orthogonality,N/A,True,True,10681.86982573058,0,14.77725874695852,0,1.443916673260901,0,3.370791265214602e-14,1.882050071344565e-12,1.393168638496896e-14,3.552713678800501e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_02_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-08,True,True,10681.86982580168,7.110065780580044e-08,14.77725874695812,-3.996802888650564e-13,1.443916673260943,4.152234112098085e-14,4.679551481005442e-14,1.901589996577968e-12,2.077380962668213e-14,3.552713678800501e-15,3.021688507638544e-11,3.021688507638544e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_02_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-07,True,True,10681.86982514174,-5.888341547688469e-07,14.77725874696079,2.263078613395919e-12,1.443916673259594,-1.306510455378884e-12,1.046287634392398e-12,2.301270285443024e-12,1.712951524345117e-13,2.664535259100376e-15,4.244232871662996e-11,4.244232871662996e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_03_E_amplitude_monitor_large_step,cyclic_phase_shift,1/4,15,1.545045567339242,cyclic_index_shift,curve_tangent,N/A,True,True,10826.90075028186,0,14.78668998626275,0,1.443856295065607,0,3.348306201634021e-14,6.306954958290589e-12,2.629988112509713e-14,4.884981308350689e-15,0.02150223551436872,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_03_E_amplitude_monitor_large_step,cyclic_phase_shift,1/2,30,3.090091134678485,cyclic_index_shift,curve_tangent,N/A,True,True,10826.90075028186,0,14.78668998626275,0,1.443856295065607,0,3.336406392368471e-14,6.306954958290589e-12,1.12493590092987e-14,2.664535259100376e-15,0.03014865423919474,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_03_E_amplitude_monitor_large_step,cyclic_phase_shift,3/4,46,4.738139739840343,cyclic_index_shift,curve_tangent,N/A,True,True,10826.90075028186,0,14.78668998626275,0,1.443856295065607,0,3.337446483116791e-14,6.306954958290589e-12,7.304295035244768e-15,2.664535259100376e-15,0.02150223551436873,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_03_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,curve_tangent,N/A,True,True,10826.90075028186,0,14.78668998626275,0,1.443856295065607,0,3.334686619512916e-14,6.306954958290589e-12,2.082424640595333e-14,3.108624468950438e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_03_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,two_orthogonality,N/A,True,True,10826.90075028186,0,14.78668998626275,0,1.443856295065607,0,3.334686619512916e-14,6.306954958290589e-12,2.082424640595333e-14,3.108624468950438e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_03_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-08,True,True,10826.90075039614,1.142816472565755e-07,14.78668998626203,-7.176481631177012e-13,1.443856295065834,2.26707541628457e-13,4.534608058773615e-14,6.292300014365537e-12,8.483886497231748e-15,3.552713678800501e-15,1.667234367101035e-11,1.667234367101035e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_03_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-07,True,True,10826.90074968483,-5.970341590000317e-07,14.7866899862802,1.745092959026806e-11,1.443856295065599,-7.993605777301127e-15,1.025283755108794e-12,6.087130799414808e-12,3.6205389781098e-13,2.220446049250313e-15,2.070617839900471e-10,2.070617839900471e-10,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_04_E_amplitude_monitor_large_step,cyclic_phase_shift,1/4,15,1.545045567339242,cyclic_index_shift,curve_tangent,N/A,True,True,10968.39588679926,0,14.79612710817628,0,1.443785768159702,0,3.642700341956348e-14,1.622746381713114e-11,7.450198397525696e-15,2.664535259100376e-15,0.02190663738450122,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_04_E_amplitude_monitor_large_step,cyclic_phase_shift,1/2,30,3.090091134678485,cyclic_index_shift,curve_tangent,N/A,True,True,10968.39588679926,0,14.79612710817628,0,1.443785768159702,0,3.618767789287117e-14,1.622746381713114e-11,7.786162609760733e-15,2.664535259100376e-15,0.03055487061278783,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_04_E_amplitude_monitor_large_step,cyclic_phase_shift,3/4,46,4.738139739840343,cyclic_index_shift,curve_tangent,N/A,True,True,10968.39588679926,0,14.79612710817628,0,1.443785768159702,0,3.629410731174921e-14,1.622746381713114e-11,1.73448101462156e-14,3.108624468950438e-15,0.02190663738450122,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_04_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,curve_tangent,N/A,True,True,10968.39588679926,0,14.79612710817628,0,1.443785768159702,0,3.615944665743897e-14,1.622746381713114e-11,9.297355298380688e-15,3.996802888650564e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_04_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,two_orthogonality,N/A,True,True,10968.39588679926,0,14.79612710817628,0,1.443785768159702,0,3.615944665743897e-14,1.622746381713114e-11,9.297355298380688e-15,3.996802888650564e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_04_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-08,True,True,10968.3958869463,1.470380084356293e-07,14.796127108175,-1.280753281207581e-12,1.443785768159991,2.893241202173158e-13,4.921642473105941e-14,1.620215073216968e-11,2.08181146162764e-15,2.664535259100376e-15,9.136045621877288e-12,9.136045621877288e-12,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_04_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-07,True,True,10968.39588543336,-1.365904608974233e-06,14.7961271081813,5.021760784984508e-12,1.443785768158596,-1.106226221736506e-12,3.715005034215672e-13,1.66733293838206e-11,6.546376931156318e-14,2.664535259100376e-15,3.091238507655305e-10,3.091238507655305e-10,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_05_E_amplitude_monitor_large_step,cyclic_phase_shift,1/4,15,1.545045567339242,cyclic_index_shift,curve_tangent,N/A,True,True,11107.54149221647,0,14.80556377691894,0,1.443708620764216,0,5.575407501971969e-14,3.484723620772456e-11,1.715172835014707e-14,4.440892098500626e-15,0.02231701147347886,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_05_E_amplitude_monitor_large_step,cyclic_phase_shift,1/2,30,3.090091134678485,cyclic_index_shift,curve_tangent,N/A,True,True,11107.54149221647,0,14.80556377691894,0,1.443708620764216,0,5.644283782392176e-14,3.484723620772456e-11,2.785871248475939e-14,2.664535259100376e-15,0.03095434057414805,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_05_E_amplitude_monitor_large_step,cyclic_phase_shift,3/4,46,4.738139739840343,cyclic_index_shift,curve_tangent,N/A,True,True,11107.54149221647,0,14.80556377691894,0,1.443708620764216,0,5.611567951121476e-14,3.484723620772456e-11,3.035204209787512e-14,2.664535259100376e-15,0.02231701147347886,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_05_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,curve_tangent,N/A,True,True,11107.54149221647,0,14.80556377691894,0,1.443708620764216,0,5.549351192881351e-14,3.484723620772456e-11,2.128053271594487e-14,4.440892098500626e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_05_E_amplitude_monitor_large_step,alternative_phase_anchor,0,0,0,none,two_orthogonality,N/A,True,True,11107.54149221647,0,14.80556377691894,0,1.443708620764216,0,5.549351192881351e-14,3.484723620772456e-11,2.128053271594487e-14,4.440892098500626e-15,0,0,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_05_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-08,True,True,11107.54149219514,-2.13367457035929e-08,14.80556377691809,-8.455458555545192e-13,1.443708620764105,-1.105782132526656e-13,4.062133954290671e-14,3.487565791715497e-11,1.058188842193863e-14,3.552713678800501e-15,2.478576889551125e-11,2.478576889551125e-11,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
bounded_05_E_amplitude_monitor_large_step,small_perturbation,0,0,0,none,curve_tangent,1e-07,True,True,11107.54149115796,-1.058515408658423e-06,14.80556377692699,8.059330980358936e-12,1.443708620764859,6.428191312579656e-13,6.0698061892306e-13,3.536460013719989e-11,7.301940485176265e-14,2.664535259100376e-15,3.572010820599678e-10,3.572010820599678e-10,phase_gauge_robust,Corrected solution returns to the reference branch member after phase alignment.
